MOUSE_GENE_SYM	HUMAN_GENE_SYM
Rbm26	RBM26
Csnk1e	CSNK1E
Dmc1	DMC1
Lnx2	LNX2
Patz1	PATZ1
Aqp4	AQP4
Pcbp3	PCBP3
Mia2	CTAGE1
Slc25a1	SLC25A1
Cldn10	CLDN10
Galnt1	GALNT1
Fam83f	FAM83F
Sugt1	SUGT1
Mb	MB
Pofut2	POFUT2
Bora	BORA
Tcn2	TCN2
Zc3h13	ZC3H13
Gpr180	GPR180
Mtfp1	MTFP1
Hormad2	HORMAD2
Cidea	CIDEA
Abcg1	ABCG1
Dstn	DSTN
Atp5o	ATP5PO
Impact	IMPACT
Rsph14	RSPH14
D16Ertd472e	C21orf91
Ets2	ETS2
Mtmr6	MTMR6
Rnf17	RNF17
Spire1	SPIRE1
Tiam1	TIAM1
Myom1	MYOM1
Comt	COMT
Cnmd	CNMD
Gstt4	GSTT4
Cfap298	CFAP298
Hmox1	HMOX1
Pknox1	PKNOX1
Dgcr8	DGCR8
Ppil2	PPIL2
Crkl	CRKL
Arhgap28	ARHGAP28
Cstb	CSTB
Myl12a	MYL12A
Krtap15	KRTAP15-1
Wdr4	WDR4
Ptpn2	PTPN2
Adcyap1	ADCYAP1
Cxadr	CXADR
Adamts5	ADAMTS5
Rnaseh2b	RNASEH2B
Tmem184b	TMEM184B
Hira	HIRA
Ifnar2	IFNAR2
Atp5j	ATP5PF
Cabp7	CABP7
Psmg1	PSMG1
Usp25	USP25
Cxxc1	CXXC1
Lrrc74b	LRRC74B
Rin2	RIN2
Ndufv2	NDUFV2
Slc14a2	SLC14A2
Lats2	LATS2
Ripk4	RIPK4
Josd1	JOSD1
Trmt2a	TRMT2A
Tmprss6	TMPRSS6
Katnal2	KATNAL2
Sumo3	SUMO3
Xbp1	XBP1
Twsg1	TWSG1
Sh3bp1	SH3BP1
Samsn1	SAMSN1
P2rx6	P2RX6
Txn2	TXN2
Cox4i2	COX4I2
Cyth4	CYTH4
Prodh	PRODH
Ift27	IFT27
Rab27b	RAB27B
C1qtnf6	C1QTNF6
Dcc	DCC
1700029H14Rik	C13orf46
Ralgapb	RALGAPB
Tnfsf13b	TNFSF13B
Lrrc75b	LRRC75B
Cldn5	CLDN5
1700003F12Rik	C20orf144
Dsc3	DSC3
Defb36	DEFB123
Mn1	MN1
Txndc2	TXNDC2
Upf3a	UPF3A
Dis3	DIS3
Ahcy	AHCY
Tgif2	TGIF2
Cbfa2t2	CBFA2T2
E2f1	E2F1
Rfc3	RFC3
Gtpbp1	GTPBP1
Nupl1	NUP58
Krtap13-1	KRTAP13-2
Slc46a3	SLC46A3
Gm4559	KRTAP10-4
Grap2	GRAP2
Gas2l1	GAS2L1
Rspo4	RSPO4
Hrh4	HRH4
Greb1l	GREB1L
Xkr5	XKR5
Setdb2	SETDB2
Nipsnap1	NIPSNAP1
Slc14a1	SLC14A1
Rnf152	RNF152
Ubash3a	UBASH3A
Gpr12	GPR12
Vsx1	VSX1
Tbc1d20	TBC1D20
Mmp24	MMP24
Gatd3a	GATD3B
Cryba4	CRYBA4
Plcb4	PLCB4
Samhd1	SAMHD1
Ctif	CTIF
Irs2	IRS2
Aar2	AAR2
Fam243	FAM243B
Slc24a3	SLC24A3
Ggact	GGACT
Mir122	MIR122
Rwdd2b	RWDD2B
Mex3c	MEX3C
Cdc42ep1	CDC42EP1
Rbbp9	RBBP9
N4bp2l2	N4BP2L2
Sox21	SOX21
Gzf1	GZF1
Rcbtb1	RCBTB1
Gm24491	RNU6-340P
Gpc6	GPC6
8030462N17Rik	C18orf25
Dcun1d2	DCUN1D2
Ankrd12	ANKRD12
Banf2	BANF2
Gja3	GJA3
Il17d	IL17D
Defa39	DEFA6
Angpt2	ANGPT2
Klf12	KLF12
Tnfrsf19	TNFRSF19
Zbtb14	ZBTB14
Tex29	TEX29
Utp14a	UTP14C
Pramel1	PRAME
Tcf4	TCF4
Depdc5	DEPDC5
Napb	NAPB
Sec23b	SEC23B
Mavs	MAVS
Champ1	CHAMP1
Mcph1	MCPH1
Mir187	MIR187
Rac2	RAC2
Cpxm1	CPXM1
Tst	TST
Znrf3	ZNRF3
Agpat5	AGPAT5
Arhgef10	ARHGEF10
Rubcnl	RUBCNL
Ncoa6	NCOA6
F10	F10
Angpt4	ANGPT4
Acss1	ACSS1
Rasl11a	RASL11A
Cecr2	CECR2
Hsph1	HSPH1
Enthd1	ENTHD1
Hdhd5	HDHD5
Ints6	INTS6
Sirpa	SIRPB1
Slc32a1	SLC32A1
Ankrd10	ANKRD10
Card10	CARD10
Pla2g3	PLA2G3
Plagl2	PLAGL2
Foxa2	FOXA2
4930402H24Rik	C20orf194
Ebf4	EBF4
Adprhl1	ADPRHL1
Abcc4	ABCC4
Kl	KL
Ptprm	PTPRM
Rab20	RAB20
Rap2a	RAP2A
Gga1	GGA1
Snrpb	SNRPB
Slc25a15	SLC25A15
Fam227a	FAM227A
Atp4b	ATP4B
Ctnnbl1	CTNNBL1
Fndc3a	FNDC3A
Haus1	HAUS1
Tdrp	TDRP
Eva1c	EVA1C
Actr5	ACTR5
Spef1	SPEF1
Alox5ap	ALOX5AP
Elac1	ELAC1
Hao1	HAO1
Prnd	PRND
Mir20a	MIR20A
Pofut1	POFUT1
Sgsm1	SGSM1
Nxt1	NXT1
Nkx2-2	NKX2-2
Bach1	BACH1
Snord58b	SNORD58B
Mylk2	MYLK2
Dsg2	DSG2
Cenpb	CENPB
Ddrgk1	DDRGK1
Atrn	ATRN
Ipo5	IPO5
Myl9	MYL9
Zar1l	ZAR1L
Lif	LIF
Mgme1	MGME1
Rassf2	RASSF2
Vstm2l	VSTM2L
Hs6st3	HS6ST3
Raly	RALY
Atf4	ATF4
Tspear	TSPEAR
Slc52a3	SLC52A3
Esf1	ESF1
N4bp2l1	N4BP2L1
Pwp2	PWP2
Pstpip2	PSTPIP2
Trib3	TRIB3
Tgm2	TGM2
Lrrc30	LRRC30
Epb41l1	EPB41L1
Pde9a	PDE9A
Cep250	CEP250
Mc4r	MC4R
Ndrg3	NDRG3
Chek2	CHEK2
Zmym5	ZMYM5
Nrip1	NRIP1
Pou4f1	POU4F1
Cbr1	CBR1
a	ASIP
Dlgap2	DLGAP2
Nanp	NANP
Kctd4	KCTD4
Atp5a1	ATP5F1A
Mical3	MICAL3
Rbck1	RBCK1
Tmtc4	TMTC4
Vpreb1	VPREB1
Gm22055	RNU6-1326P
Rab31	RAB31
Tbc1d4	TBC1D4
B4galt6	B4GALT6
Myl12b	MYL12B
Dsg1b	DSG1
Bpifa3	BPIFA3
Poglut2	POGLUT2
Ankrd54	ANKRD54
Ltn1	LTN1
Gm867	C22orf15
Tmem239	TMEM239
Sox12	SOX12
Postn	POSTN
Fam124a	FAM124A
Kif3b	KIF3B
Tm9sf2	TM9SF2
Arglu1	ARGLU1
Plcb1	PLCB1
Gucd1	GUCD1
U2af1	U2AF1L5
Poli	POLI
Morc2a	MORC2
Gpr18	GPR18
Ift88	IFT88
Bpifb1	BPIFB1
Lmo7	LMO7
Scp2d1	SCP2D1
Tm9sf4	TM9SF4
Tmx4	TMX4
Grk3	GRK3
Isx	ISX
Sgcg	SGCG
Rtn4r	RTN4R
Gal3st1	GAL3ST1
Csf2rb	CSF2RB
Ska1	SKA1
Pdrg1	PDRG1
Klhl14	KLHL14
Gm10272	KRTAP10-6
Mir133a-1	MIR133A1
Thsd1	THSD1
Defb20	DEFB128
Lman1	LMAN1
Flt1	FLT1
Mzt1	MZT1
Ccdc169	CCDC169
Lzts3	LZTS3
Dusp18	DUSP18
Bpifc	BPIFC
Pi4ka	PI4KA
Slitrk5	SLITRK5
Spg20	SPART
Crybb3	CRYBB3
Rpl17	RPL17
1700088E04Rik	C22orf23
Apol9a	APOL3
Ydjc	YDJC
Kcnrg	KCNRG
Micall1	MICALL1
Hmgxb4	HMGXB4
Tgm3	TGM3
Ccbe1	CCBE1
Gm22979	RNU1-24P
Cdk5rap1	CDK5RAP1
Stoml3	STOML3
Pomp	POMP
Chgb	CHGB
Hic2	HIC2
Mir18	MIR18A
Prr14l	PRR14L
Exosc8	EXOSC8
Dclk1	DCLK1
Lrrc3	LRRC3
Tcf15	TCF15
Mro	MRO
Eif6	EIF6
Defb21	DEFB118
Dleu7	DLEU7
Otor	OTOR
Tmem230	TMEM230
Rasl10a	RASL10A
Tasp1	TASP1
St8sia3	ST8SIA3
Zfp341	ZNF341
Hlcs	HLCS
Ccdc68	CCDC68
Pex26	PEX26
Tpst2	TPST2
Slc15a1	SLC15A1
Emid1	EMID1
Sun5	SUN5
Hmgn1	HMGN1
Crls1	CRLS1
Alg11	ALG11
Fhod3	FHOD3
Farp1	FARP1
Csmd1	CSMD1
Zdhhc8	ZDHHC8
Mtmr3	MTMR3
Insm1	INSM1
Ppp4r1	PPP4R1
Sstr4	SSTR4
Zic2	ZIC2
Mir185	MIR185
Sdcbp2	SDCBP2
Bace2	BACE2
Pitpnb	PITPNB
Acaa2	ACAA2
Slc25a51	SLC25A52
Rnf6	RNF6
6820408C15Rik	C20orf96
Olig2	OLIG2
Snord57	SNORD57
Rasa3	RASA3
Rprd1a	RPRD1A
Mrps26	MRPS26
Tssk2	TSSK2
Jam2	JAM2
Fam207a	FAM207A
Rbbp8	RBBP8
Gss	GSS
Ncf4	NCF4
Cldn17	CLDN17
Kctd1	KCTD1
Slx4ip	SLX4IP
Syn3	SYN3
Bivm	BIVM-ERCC5
Sim2	SIM2
B3glct	B3GLCT
Kcnj15	KCNJ15
Commd7	COMMD7
Fermt1	FERMT1
Stk24	STK24
Pik3c3	PIK3C3
Nsfl1c	NSFL1C
BC031181	C18orf32
Ckap2	CKAP2
Lig4	LIG4
Cetn1	CETN1
Cldn14	CLDN14
Snph	SNPH
Asphd2	ASPHD2
Avp	AVP
Myo5b	MYO5B
Specc1l	SPECC1L
Tex26	TEX26
Gfra4	GFRA4
Trappc8	TRAPPC8
Lacc1	LACC1
Lipi	LIPI
Usp16	USP16
Kbtbd7	KBTBD6
Krtap8-1	KRTAP8-1
Brca2	BRCA2
4932438H23Rik	C21orf62
Septin5	SEPTIN5
Tti1	TTI1
Grk1	GRK1
Gsx1	GSX1
Zic5	ZIC5
Proser1	PROSER1
Apol6	APOL6
Oxt	OXT
Rfxap	RFXAP
Trpc4	TRPC4
Pcid2	PCID2
Apmap	APMAP
Nol4	NOL4
Cct8	CCT8
Atp11a	ATP11A
Rbl1	RBL1
Pdx1	PDX1
Gm24764	RNU2-7P
Romo1	ROMO1
Epg5	EPG5
Mir99a	MIR99A
Pank2	PANK2
Lama1	LAMA1
Pik3ip1	PIK3IP1
Ppm1f	PPM1F
Mkks	MKKS
Gm25186	RNU6-76P
Ttr	TTR
Pla2g6	PLA2G6
Id1	ID1
C2cd2	C2CD2
Mycbp2	MYCBP2
Scand1	SCAND1
Rbfox2	RBFOX2
Fam216b	FAM216B
Ccna1	CCNA1
Foxo1	FOXO1
Erg	ERG
Mcm8	MCM8
Sacs	SACS
2900026A02Rik	KIAA1671
Cfap61	CFAP61
Smad7	SMAD7
Maff	MAFF
Nrsn2	NRSN2
Hps4	HPS4
Spag4	SPAG4
Vps36	VPS36
Alpk2	ALPK2
Pax1	PAX1
Idh3b	IDH3B
Ino80c	INO80C
Cst11	CST11
Defb15	DEFB127
Chchd10	CHCHD10
Chst9	CHST9
Phf20	PHF20
Tmem191c	TMEM191B
Proz	PROZ
Krtap7-1	KRTAP7-1
1700037H04Rik	C20orf27
Ggt7	GGT7
Rnf125	RNF125
Lgals2	LGALS2
Abhd12	ABHD12
Nek3	NEK3
Procr	PROCR
Rps19bp1	RPS19BP1
Kif16b	KIF16B
Shld1	SHLD1
Rpl3	RPL3
Scrt2	SCRT2
Asxl1	ASXL1
Uqcr10	UQCR10
Trp53inp2	TP53INP2
Zbtb21	ZBTB21
Dzank1	DZANK1
Rprd1b	RPRD1B
Gas6	GAS6
Lss	LSS
Tom1	TOM1
Lgals1	LGALS1
Tbc1d10a	TBC1D10A
Lamp1	LAMP1
Cars2	CARS2
Krtap26-1	KRTAP26-1
Cdh20	CDH20
Erich1	ERICH1
Adra1d	ADRA1D
Lipg	LIPG
Slc35e4	SLC35E4
Tmem74b	TMEM74B
Chmp4b	CHMP4B
Fry	FRY
Sla2	SLA2
Mrps31	MRPS31
Rrp1b	RRP1B
Snx5	SNX5
2510002D24Rik	C22orf39
Il2rb	IL2RB
St8sia5	ST8SIA5
Cby2	CBY2
Mpst	MPST
Gpr183	GPR183
Fam210a	FAM210A
Dlgap4	DLGAP4
Rrp1	RRP1
Zfp280b	ZNF280B
Ubox5	UBOX5
Macrod2	MACROD2
Dnajc28	DNAJC28
Cst3	CST3
Nkx2-4	NKX2-4
Gm23293	RNU6-926P
Dgkh	DGKH
Pcdh17	PCDH17
Tex30	TEX30
Tgif1	TGIF1
Polr1d	POLR1D
Xrn2	XRN2
Tmco3	TMCO3
Poteg	ANKRD62
Gm23848	RNU6-79P
Dnmt3b	DNMT3B
Trpc4ap	TRPC4AP
Gpcpd1	GPCPD1
Vps16	VPS16
Pygb	PYGB
Tgm6	TGM6
Serp2	SERP2
Cryzl1	CRYZL1
Hspa13	HSPA13
Cdc25b	CDC25B
Cstl1	CSTL1
Cst9	CST9L
Mab21l1	MAB21L1
Sun2	SUN2
Dscam	DSCAM
Zbtb7c	ZBTB7C
Gstt2	GSTT2B
Gdf5	GDF5
Vwa8	VWA8
Rnf165	RNF165
Gjb2	GJB2
Mir19a	MIR19A
Dsg3	DSG3
Arhgef7	ARHGEF7
Adig	ADIG
Col4a2	COL4A2
Piezo2	PIEZO2
Mapre1	MAPRE1
Cog3	COG3
F7	F7
Ghrh	GHRH
Tmem211	TMEM211
Kcnj6	KCNJ6
Trmt6	TRMT6
Acss2	ACSS2
Rab5if	TGIF2-RAB5IF
Tuba8	TUBA8
Bfsp1	BFSP1
Umodl1	UMODL1
Myo18b	MYO18B
Ttc28	TTC28
Cenpj	CENPJ
Ccm2l	CCM2L
Clybl	CLYBL
Kcnj4	KCNJ4
Mettl21c	METTL21C
Dtd1	DTD1
Lrch1	LRCH1
Urb1	URB1
Ptpra	PTPRA
Onecut2	ONECUT2
Edem2	EDEM2
Dzip1	DZIP1
Pick1	PICK1
Fgf14	FGF14
Smox	SMOX
Ankrd29	ANKRD29
Tpx2	TPX2
Gjb6	GJB6
Inpp5j	INPP5J
Myo16	MYO16
Sptlc3	SPTLC3
Pcdh20	PCDH20
Pdyn	PDYN
Dsn1	DSN1
Morc3	MORC3
Cog6	COG6
Usp18	USP18
Zfp708	ZNF519
Tpte	TPTE2
Gm24697	RNU6-1257P
Taf4b	TAF4B
Itch	ITCH
Kcne2	KCNE2
Tfdp1	TFDP1
Gm25129	SNORA60
Bpifb2	BPIFB2
Cst7	CST7
Pcdh9	PCDH9
Medag	MEDAG
Slc23a2	SLC23A2
Phf11d	PHF11
Mc2r	MC2R
Psmf1	PSMF1
Cd93	CD93
Rxfp2	RXFP2
Hscb	HSCB
Usp14	USP14
Ndfip2	NDFIP2
Soga1	SOGA1
Kat14	KAT14
Cldn8	CLDN8
Rit2	RIT2
Pias2	PIAS2
Gm25812	RNU6-567P
Slc16a8	SLC16A8
L3mbtl4	L3MBTL4
Mirlet7c-1	MIRLET7C
Cul4a	CUL4A
Src	SRC
Gp1bb	GP1BB
Asxl3	ASXL3
Triobp	TRIOBP
Mtcl1	MTCL1
Gtf2f2	GTF2F2
Ap5s1	AP5S1
Polr3f	POLR3F
Naxd	NAXD
Rbm39	RBM39
Ralgapa2	RALGAPA2
Cct8l1	CCT8L2
Cds2	CDS2
Nop56	NOP56
Cbx7	CBX7
Ybey	YBEY
Mocos	MOCOS
Pdxk	PDXK
AW554918	KIAA1328
Mrps6	MRPS6
Zfp532	ZNF532
Fbxo25	FBXO25
Mgat3	MGAT3
Dusp15	DUSP15
Col4a1	COL4A1
Slitrk6	SLITRK6
Katnal1	KATNAL1
Colec12	COLEC12
N6amt1	N6AMT1
Cln8	CLN8
Htr2a	HTR2A
Fam110a	FAM110A
Cdk8	CDK8
Tmc2	TMC2
Nek5	NEK5
Ube2l3	UBE2L5
Ccdc122	CCDC122
Tpp2	TPP2
Flt3	FLT3
Sohlh2	SOHLH2
Tex33	TEX33
Gm25079	RNU105B
Lhfp	LHFPL6
Defb29	DEFB116
Gm22977	RNU6-38P
Mir17	MIR17
Cep76	CEP76
Eif3l	EIF3L
Ddx17	DDX17
Pcca	PCCA
Gm22681	RNU6-63P
Pced1a	PCED1A
Pcsk2	PCSK2
Snap25	SNAP25
Pcdh8	PCDH8
Krtap24-1	KRTAP24-1
Tfip11	TFIP11
Rrbp1	RRBP1
Ninl	NINL
Lpar6	LPAR6
Elfn2	ELFN2
Tnrc6b	TNRC6B
Tug1	TUG1
Bpi	BPI
Pigu	PIGU
Stk35	STK35
Cdx2	CDX2
Sh3bgr	GET1-SH3BGR
Bpifb6	BPIFB6
Dsc1	DSC1
Alg5	ALG5
Nfs1	NFS1
Ovol2	OVOL2
Upb1	UPB1
Parp4	PARP4
Cyyr1	CYYR1
Gnaz	GNAZ
Jag1	JAG1
Nudt15	NUDT15
Tmem241	TMEM241
Hunk	HUNK
Prokr2	PROKR2
Rimbp3	RIMBP3
Loxhd1	LOXHD1
Kbtbd11	KBTBD11
Bpifb3	BPIFB3
Slc7a1	SLC7A1
Cables1	CABLES1
Uggt2	UGGT2
Pabpc2	PABPC3
Shisa2	SHISA2
Sez6l	SEZ6L
Map1lc3a	MAP1LC3A
Trim13	TRIM13
Bpifa5	BPIFA1
Zfp78	ZNF337
Supt20	SUPT20H
D630003M21Rik	KIAA1755
Srxn1	SRXN1
Apcdd1	APCDD1
Sox10	SOX10
Slain1	SLAIN1
Cdc16	CDC16
Pcna	PCNA
Rbm11	RBM11
Rasd2	RASD2
Pign	PIGN
Mtus2	MTUS2
Cst8	CST8
Dynlrb1	DYNLRB1
Gm23039	RNU1-94P
Tmem255b	TMEM255B
Ubac2	UBAC2
Necab3	NECAB3
Pan3	PAN3
Myom2	MYOM2
Snta1	SNTA1
Mapk1	MAPK1
Uspl1	USPL1
4930503L19Rik	C18orf54
Mif	MIF
Ss18	SS18
Ndufaf5	NDUFAF5
Arl11	ARL11
Tpt1	TPT1
Oxgr1	OXGR1
Itgbl1	ITGBL1
Btbd3	BTBD3
Garem1	GAREM1
Manbal	MANBAL
Rpl21	RPL21
Ccdc157	CCDC157
Pds5b	PDS5B
Crybb1	CRYBB1
Gm26055	RNU6-27P
Abhd13	ABHD13
Ufm1	UFM1
Mir155	MIR155
Mrap	MRAP
C1qtnf9	C1QTNF9B
Osm	OSM
Ing1	ING1
Osbpl1a	OSBPL1A
Blcap	BLCAP
Nol12	NOL12
Lca5l	LCA5L
Malt1	MALT1
Thoc5	THOC5
Sec14l3	SEC14L3
Rnf24	RNF24
Crybb2	CRYBB2
Lrrn4	LRRN4
Srrd	SRRD
Siglec1	SIGLEC1
Adam33	ADAM33
Entpd6	ENTPD6
Xkr7	XKR7
Flrt3	FLRT3
Sstr3	SSTR3
Ttc3	TTC3
Mppe1	MPPE1
Kctd17	KCTD17
Nhlrc3	NHLRC3
Nol4l	NOL4L
Psma8	PSMA8
Mettl4	METTL4
Sertm1	SERTM1
Atp8b1	ATP8B1
Kcne1	KCNE1B
Wasf3	WASF3
Lamp5	LAMP5
Rhbdd3	RHBDD3
Zfp24	ZNF24
Dach1	DACH1
Hmgb1	HMGB1
Grtp1	GRTP1
Usp12	USP12
Bod1	BOD1L2
Bmp2	BMP2
Nbea	NBEA
Pak7	PAK5
Dock9	DOCK9
Wdr7	WDR7
Cnbd2	CNBD2
Frem2	FREM2
Tyms	TYMS
Gins1	GINS1
Elf1	ELF1
Dym	DYM
Mcf2l	MCF2L
Rpn2	RPN2
Polr2f	POLR2F
Mir103-2	MIR103A2
Olig1	OLIG1
Gm26378	RNU6-61P
Pet117	PET117
Kctd12	KCTD12
Defb26	DEFB125
Txnrd2	TXNRD2
